Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD4 (Opal 520) Min (Normalized Counts, Total Weighting)	CD4 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD4 (Opal 520) Max (Normalized Counts, Total Weighting)	CD4 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD4 (Opal 520) Total (Normalized Counts, Total Weighting)	CK (Opal 540) Min (Normalized Counts, Total Weighting)	CK (Opal 540) Mean (Normalized Counts, Total Weighting)	CK (Opal 540) Max (Normalized Counts, Total Weighting)	CK (Opal 540) Std Dev (Normalized Counts, Total Weighting)	CK (Opal 540) Total (Normalized Counts, Total Weighting)	CD8 (Opal 570) Min (Normalized Counts, Total Weighting)	CD8 (Opal 570) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 570) Max (Normalized Counts, Total Weighting)	CD8 (Opal 570) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 570) Total (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Min (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Mean (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Max (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	PDL1 (Opal 620) Total (Normalized Counts, Total Weighting)	CD68 (Opal 650) Min (Normalized Counts, Total Weighting)	CD68 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 650) Max (Normalized Counts, Total Weighting)	CD68 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 650) Total (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Min (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Mean (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Max (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	Foxp3 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.1.5430.24864
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	11		1796	316	#N/A	#N/A	2944	0.05 %	0.41	49.41	93.13	1.88	0.000	1.545	14.767	2.524	4547.705	0.000	0.076	2.738	0.217	225.025	0.000	0.798	7.520	1.128	2348.316	0.000	2.151	39.400	4.373	6333.598	0.000	5.122	23.062	4.453	15078.659	0.761	16.156	45.066	8.049	47561.828	0.000	0.810	5.550	0.780	2383.498	0.000	5.996	12.802	1.890	17650.816	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	12		2232	852	#N/A	#N/A	84032	1.45 %	0.22	401.56	431.37	1.07	0.000	4.284	31.735	4.663	359968.565	0.000	0.308	6.383	0.367	25909.943	0.000	0.979	19.307	1.055	82282.731	0.000	1.342	55.800	3.705	112772.399	0.000	1.507	22.656	1.747	126674.836	0.000	3.147	50.757	6.353	264438.821	0.000	0.807	18.324	1.100	67814.261	0.000	3.907	15.297	2.198	328335.586	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	13		830	856	#N/A	#N/A	5776	0.10 %	0.41	64.46	132.16	2.05	0.000	5.126	29.277	5.024	29608.323	0.000	0.155	2.004	0.178	893.755	0.000	1.270	7.083	0.744	7334.282	0.000	1.210	25.472	2.940	6988.648	0.000	2.749	15.628	2.261	15880.535	0.000	3.019	31.565	5.746	17438.967	0.000	0.719	5.805	0.797	4150.857	0.000	3.575	12.128	1.865	20651.021	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	14		2736	1104	#N/A	#N/A	11044	0.19 %	0.27	97.07	208.04	2.14	0.188	1.264	2.279	0.276	13954.890	0.000	0.055	0.588	0.076	606.642	0.000	0.141	0.942	0.138	1557.846	0.000	0.135	1.183	0.195	1489.048	0.000	0.071	0.969	0.122	781.416	0.000	0.090	0.472	0.088	995.653	0.000	0.099	1.016	0.134	1095.261	0.000	1.243	2.675	0.414	13729.455	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	15		2020	1104	#N/A	#N/A	2880	0.05 %	0.33	49.24	108.39	2.20	0.000	2.730	21.800	3.343	7861.768	0.000	0.158	1.204	0.189	454.346	0.000	0.989	9.290	0.872	2848.133	0.000	1.300	22.841	2.479	3744.212	0.000	2.557	17.164	2.953	7364.338	0.000	6.136	35.830	7.279	17671.019	0.000	0.478	4.400	0.586	1375.653	0.000	3.726	9.515	1.963	10729.945	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	16		1852	1124	#N/A	#N/A	2624	0.05 %	0.52	50.66	78.99	1.56	0.000	3.270	27.329	4.773	8579.914	0.000	0.084	1.005	0.135	221.347	0.000	0.767	9.565	0.751	2011.981	0.000	1.221	17.176	1.847	3205.206	0.000	3.902	24.821	3.910	10237.760	0.000	5.986	35.021	7.026	15706.247	0.000	0.388	3.032	0.496	1018.373	0.000	3.755	10.320	2.053	9852.584	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	17		580	1252	#N/A	#N/A	84742	1.46 %	0.45	262.06	458.63	1.75	0.000	5.023	39.445	5.409	425699.288	0.000	0.336	5.092	0.359	28436.916	0.000	0.864	10.432	0.632	73225.149	0.000	2.722	48.899	5.161	230630.950	0.000	1.264	24.701	1.484	107119.702	0.000	2.682	54.907	5.172	227277.522	0.000	0.613	11.703	0.695	51930.330	0.000	3.438	12.739	1.944	291311.886	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	18		2312	1174	#N/A	#N/A	4620	0.08 %	0.31	92.06	96.01	1.04	0.000	5.225	25.700	4.929	24139.711	0.000	0.216	1.748	0.205	998.259	0.000	1.061	8.753	0.783	4900.034	0.000	0.842	17.886	1.212	3887.901	0.000	2.392	27.235	2.981	11052.757	0.000	2.435	32.044	3.376	11250.517	0.000	0.542	9.133	0.887	2503.751	0.000	3.133	10.649	1.569	14472.789	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	19		920	1229	#N/A	#N/A	7180	0.12 %	0.27	82.39	177.20	2.15	0.000	3.271	24.568	3.678	23488.421	0.000	0.178	2.347	0.229	1280.335	0.000	1.425	11.350	1.478	10232.237	0.000	1.278	27.146	3.046	9175.450	0.000	2.236	21.510	3.164	16051.537	0.000	4.219	34.248	7.312	30294.224	0.000	0.466	5.704	0.644	3346.388	0.000	3.436	11.663	2.278	24667.379	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	20		1128	1172	#N/A	#N/A	2368	0.04 %	0.53	56.33	63.94	1.14	0.000	2.447	22.574	2.557	5795.543	0.000	0.136	1.861	0.180	321.238	0.000	1.125	8.124	1.148	2663.421	0.000	0.369	19.390	1.365	873.191	0.000	0.377	6.661	0.631	893.714	0.000	0.233	1.756	0.224	551.578	0.000	0.135	1.740	0.207	320.311	0.000	1.680	7.068	0.721	3978.869	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	21		1612	1564	#N/A	#N/A	399448	6.90 %	0.13	616.93	1495.39	2.42	0.000	4.261	37.955	4.507	1702116.799	0.000	0.341	7.531	0.354	136302.568	0.000	0.874	17.720	0.726	349079.958	0.000	1.176	51.082	3.130	469670.300	0.000	1.099	23.033	1.201	438811.683	0.000	1.657	46.275	3.786	661824.500	0.000	0.569	20.499	0.697	227122.337	0.000	3.658	16.978	1.604	1461302.210	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	22		1044	1282	#N/A	#N/A	2702	0.05 %	0.44	62.18	78.42	1.26	0.000	3.161	23.708	4.388	8542.354	0.000	0.158	2.901	0.318	427.689	0.000	0.731	3.634	0.706	1976.168	0.000	0.948	19.057	1.272	2562.361	0.000	4.997	26.366	4.635	13500.974	0.000	7.074	31.183	7.715	19113.016	0.000	0.552	6.148	0.794	1491.202	0.000	4.565	9.968	2.376	12335.941	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	23		1828	1348	#N/A	#N/A	11328	0.20 %	0.46	104.20	168.02	1.61	0.000	8.084	32.456	5.976	91579.411	0.000	0.284	1.637	0.187	3221.764	0.000	1.220	8.065	0.672	13823.123	0.000	1.306	21.947	2.094	14798.302	0.000	1.986	12.096	1.240	22496.200	0.000	2.227	28.153	3.528	25226.838	0.000	0.760	4.964	0.579	8610.883	0.000	3.529	10.859	1.257	39978.017	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	24		1304	1352	#N/A	#N/A	7584	0.13 %	0.45	80.31	144.11	1.79	0.000	1.826	25.583	1.114	13847.664	0.000	0.084	3.231	0.158	637.265	0.000	0.576	16.084	1.064	4367.260	0.000	0.484	45.356	3.048	3668.644	0.000	0.359	17.794	1.001	2724.725	0.000	1.647	27.969	3.967	12491.910	0.000	0.156	2.136	0.261	1184.277	0.000	2.014	10.832	1.492	15275.488	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	25		544	1516	#N/A	#N/A	12038	0.21 %	0.19	109.16	257.01	2.35	0.000	3.272	30.846	4.365	39387.559	0.000	0.206	2.698	0.268	2481.113	0.000	1.394	17.853	1.667	16780.806	0.000	1.005	25.638	2.084	12099.575	0.000	5.648	37.260	6.136	67993.980	0.000	6.649	48.261	9.517	80045.636	0.000	0.916	10.270	1.209	11026.898	0.000	4.281	15.123	2.704	51531.937	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	26		774	1592	#N/A	#N/A	4307	0.07 %	0.39	64.05	100.06	1.56	0.000	2.518	26.508	3.707	10843.757	0.000	0.123	1.694	0.187	528.038	0.000	0.955	12.884	1.101	4114.927	0.000	1.766	37.050	4.165	7608.309	0.000	2.556	18.594	2.831	11010.145	0.000	7.621	40.716	9.861	32824.067	0.000	0.756	5.579	0.936	3256.606	0.000	4.087	12.384	2.656	17603.237	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	27		692	1772	#N/A	#N/A	42816	0.74 %	0.35	196.34	363.02	1.85	0.000	3.980	35.384	4.673	170419.025	0.000	0.337	4.520	0.338	14416.018	0.000	1.281	20.943	1.659	54846.334	0.000	0.932	38.758	2.614	39908.942	0.000	1.515	25.816	1.623	64849.569	0.000	3.448	56.912	7.471	147630.490	0.000	0.841	17.515	1.154	36010.099	0.000	3.804	16.311	2.404	162861.546	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	28		1776	1888	#N/A	#N/A	2432	0.04 %	0.48	42.48	83.22	1.96	0.000	2.556	25.839	3.949	6217.281	0.000	0.132	2.962	0.245	321.061	0.000	1.237	15.175	1.647	3007.313	0.000	2.871	41.965	7.291	6983.161	0.000	3.987	26.589	4.266	9697.108	0.000	4.035	29.545	6.038	9813.190	0.000	0.490	4.903	0.784	1192.193	0.000	3.759	15.991	2.497	9142.100	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	29		1860	1924	#N/A	#N/A	4416	0.08 %	0.20	51.25	175.56	3.43	0.000	3.201	26.147	4.263	14134.446	0.000	0.370	3.919	0.389	1634.133	0.000	1.721	10.363	1.514	7600.980	0.000	0.509	9.705	0.889	2248.003	0.000	0.872	4.865	0.846	3848.744	0.000	0.896	22.199	2.121	3954.707	0.000	0.499	5.050	0.616	2202.507	0.000	2.587	8.910	1.402	11422.689	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	stroma	30		1344	2064	#N/A	#N/A	2240	0.04 %	0.28	32.04	112.08	3.50	0.000	0.900	3.064	0.428	2016.742	0.000	0.101	2.584	0.193	227.295	0.000	0.888	9.945	1.342	1988.374	0.000	0.253	10.353	0.811	566.704	0.000	0.296	8.643	0.841	663.279	0.000	0.119	2.425	0.157	265.508	0.000	0.113	1.653	0.165	252.398	0.000	1.634	10.489	1.042	3660.029	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	background	31		608	1040	#N/A	#N/A	1164837	20.12 %	0.20	1216.02	2088.36	1.72	0.000	1.774	24.662	0.441	2066635.972	0.000	0.034	4.151	0.063	39988.787	0.000	0.168	30.514	0.496	195594.550	0.000	0.087	35.010	0.258	101591.607	0.000	0.063	19.753	0.257	73723.752	0.000	0.100	44.103	0.437	116732.731	0.000	0.073	5.193	0.111	85101.675	0.000	1.165	21.900	0.371	1356960.037	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	background	32		2092	1040	#N/A	#N/A	1312012	22.66 %	0.18	1384.97	2080.64	1.50	0.000	1.777	21.465	0.670	2331715.435	0.000	0.041	6.677	0.080	53267.325	0.000	0.175	21.322	0.408	229058.606	0.000	0.078	35.990	0.268	101906.866	0.000	0.068	26.231	0.290	89844.192	0.000	0.097	62.386	0.646	126861.379	0.000	0.065	6.169	0.110	85205.589	0.000	1.194	16.904	0.410	1567141.288	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	background	33		684	804	#N/A	#N/A	2752	0.05 %	0.54	56.37	71.87	1.27	0.000	3.386	28.713	3.522	9317.986	0.000	0.116	1.400	0.169	318.169	0.000	0.854	15.152	1.172	2350.635	0.000	0.514	19.872	1.825	1414.944	0.000	0.657	12.850	1.084	1809.296	0.000	0.624	10.996	1.190	1718.137	0.000	0.341	4.279	0.542	937.771	0.000	1.899	12.507	1.168	5225.920	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	background	34		928	991	#N/A	#N/A	10348	0.18 %	0.24	69.35	237.24	3.42	0.000	2.148	18.598	1.134	22223.723	0.000	0.086	3.189	0.142	889.917	0.000	0.731	13.779	1.005	7559.771	0.000	0.310	19.383	1.245	3211.474	0.000	0.275	9.192	0.629	2846.190	0.000	0.138	1.823	0.157	1423.374	0.000	0.133	3.300	0.227	1376.391	0.000	1.535	14.008	0.736	15884.047	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	background	35		2100	1308	#N/A	#N/A	2697	0.05 %	0.47	55.90	72.43	1.30	3.343	9.677	17.020	1.696	26098.573	0.000	0.040	0.897	0.101	109.042	0.000	0.715	4.743	0.611	1929.490	0.000	0.215	6.329	0.479	578.541	0.000	0.564	16.317	1.261	1520.517	0.000	1.138	20.015	2.631	3070.408	0.000	0.122	4.629	0.345	328.936	0.652	2.371	9.869	1.034	6395.662	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	background	36		852	1468	#N/A	#N/A	13009	0.22 %	0.21	111.10	275.64	2.48	0.000	2.817	31.387	2.451	36649.444	0.000	0.098	3.217	0.162	1278.432	0.000	0.802	22.273	1.473	10426.770	0.000	0.457	33.620	2.022	5941.107	0.000	0.475	11.040	1.039	6178.601	0.000	0.438	21.638	1.341	5698.704	0.000	0.164	2.867	0.286	2135.711	0.000	1.628	16.627	0.996	21180.655	MDA FIHC6	TMA_316	1	5	6	1	
I:\TMA_316\HPF\Raw	MDA FIHC6__TMA_316_HP_IM3_0_Core[1,5,6,1]_[21302,15107].im3	background	37		988	1544	#N/A	#N/A	3004	0.05 %	0.53	60.60	74.75	1.23	0.000	3.055	21.334	2.653	9178.188	0.000	0.127	2.502	0.228	381.605	0.000	0.699	9.301	0.887	2100.842	0.000	0.457	10.940	1.308	1372.259	0.000	0.645	11.990	1.254	1938.130	0.000	0.565	10.102	1.254	1696.641	0.000	0.184	2.567	0.306	553.750	0.000	1.754	8.090	1.044	5268.434	MDA FIHC6	TMA_316	1	5	6	1	
